paperID,title,year,keywords,abstract,authors
,An ontological approach to improving compliance implementation in enterprises,2016,,,"Danny C. Cheng, Nathalie Rose Lim-Cheng, Roberto Legaspi"
,A Framework for the Automated Design of Paper Pop-ups,2016,,,"Conrado R. Ruiz, Jr., Sang N. Le, Kok-Lim Low"
,On the Application of Bat Algorithm to Parameter Estimation of S-system Models,2016,,,"Jayson A. Lucilo, Carlene P.C. Pilar-Arceo, Eduardo R. Mendoza"
,Embodied Conversational Agent System for Public Health Monitoring of Filipino Children,2016,,,"Katrina T. Lacsamana, Mary B. Malana, Albert H. Rivera, Judith J. Azcarraga"
,Fetal ECG Analysis Using Template Matching and Wavelet Decomposition,2016,,,"Carlo Adriano, Raphael Bihis, Jaimie Bringas, Charisse Hong, Ann Franchesca Laguna"
,Solution to a Restricted Motif Finding Problem in Membranes,2016,,,"Katrina B. Gapuz, Ephraim D. Mendoza, Richelle Ann B. Juayong, Nestine Hope S. Hernandez, Henry N. Adorna"
,Discovering Policies using Activity Models of Self Regulated Learners,2016,,,"Jordan Aiko Deja, Rafael A. Cabredo"
,Challenges in Determining Compliance as part of Corporate Governance: A Natural Language Processing Problem,2016,,,"Nathalie Rose Lim-Cheng, Danny Cheng, Roberto Legaspi"
,Clustering Philippine Languages,2016,,,"Nathaniel Oco, Leif Romeritch Syliongka, Rachel Edita Roxas"
,Modifying the Teknomo-Fernandez Algorithm for Accurate Real-Time Background Subtraction,2016,,,"Xavier Jeaspher Eser, Patricia Angela Abu, Proceso Fernandez Jr"
,Improved Quadtree-Segmented Block Truncation for Color Image Compression,2016,,,"Ryan Rey M. Daga, Proceso Fernandez Jr"
,Development of a System for the Verification of Crowdsourced Information,2016,,,"Hadrian Ang, Miguel Palma"
,Designing a Configurable Web Scraper for The Air and Sea Transport Domain,2016,,,"Leona Jean A. Lao, Vermille Ann T. Saw"
,Towards a Corpus-based Filipino Grammar Checker System,2016,,,"Matthew Phillip Go, Allan Borra"
,Spiking Neural P Systems GPU Simulation using OpenCL,2016,,,"Ann Renzel Lagunda, Genesis Ian Palaganas, Francis George C. Cabarle, Henry N. Adorna"
,Improved Sampling Techniques for Learning an Imbalanced Data Set,2016,,,"Maureen Lyndel C. Lauron, Jaderick P. Pabico"
,A C2-Huberized nonconvex TVq model for image restoration,2016,,,Marrick C. Neri
,An Analysis of Bubble Sort Based Heuristics for Minimum Sorting by Short Rearrangements,2015,,,"Job Eliezek Bangayan, John Richard Bunyi, Jeau Gigataras, John Paul C. Vergara"
,Circular Pair Flash Code,2015,,,"Jasper S. Agustin, Proceso Fernandez Jr"
,MMIPSS: Mobile-based MIPS64 Simulator,2015,,,"Ma. Angelica Capuz, Selwyn Emerson Reyes, Lorraine Policarpio, Roger Luis Uy, Brylle Joseph Quinto"
,Multi-level classifier for the detection of insults in social media,2015,,,"Reinald Kim Amplayo, Jason Occidental"
,Clustering Learners in a Learning-by-Teaching Intelligent Tutoring System and Differences in their Mathematics Performance,2015,,,"Rex P. Bringula, Roselle S. Basa, Cecilio Dela Cruz"
,A Comparative Analysis of Classification Techniques for MIDI Files,2015,,,"Emmanuel Jon A. Magdaluyo, Miguel Paolo A. Maglaque, Geronimo Miguel M. Mantes, Andrei D. Coronel"
,Final Exam Scheduling and Classroom Assignment Using Late Acceptance Hill Climbing,2015,,,"Earl Jay F. Ledesma, Marie Yvette B. de Robles"
,Traffic Prediction for the Major Roads in EDSA using Feed-Forward Backpropagation Neural Networks,2015,,,"Emilio Angelo D. Alindogan, Jerry Y. Hom, Febrev F. Dela Cruz, Melissa P. Juanillo, Ma. Christina R. Aragon, Mark Lorenz F. Eustaquio"
,Developing a Language Identification System for Eleven Philippine Languages: Using True Positives to Measure Language Similarity,2015,,,"Nathaniel Oco, Allain Paolo Hiya, Sony Renz Manalo, Manolito Octaviano Jr., Ryan Christopher Pinca"
,A semantic model for evaluating essays using reflective random indexing,2015,,,"Reinald Kim Amplayo, Jason Occidental"
,Identification of Philippine Algae Species from Images using Naive Bayes Classifier,2015,,,"Krystel Arriane A. Cortez, Katrina Joy H. Magno"
,Determining the Correlation Between Concentration Levels and the Visual Features of Algae in Water Surfaces,2015,,,"Aaron Spencer K. Ngo, John Darill B. Desingco, Macario O. Cordel II, Roger L. Uy, Prane Mariel B. Ong, Eric R. Punzalan, Joel P. Ilao"
,A split Bregman method for removing impulse noise,2015,,,Marrick C. Neri
,Minimization of a restricted l1 TV model by interior point method,2015,,,"Rachel Anne G. Concepcion, Marrick C. Neri"
,Analyzing Brainwave Signals using Supervised Learning Algorithms for Affect-based Student Modeling,2015,,,"Tita R. Herradura, Merlin Teodosia C. Suarez"
,A Quality Framework on Contextual Challenges in Online Distance Education for Developing Countries,2015,,,"Raymund E. Dilan, Proceso Fernandez Jr"
,Virtual Learning Environment Implementation Framework of Mariano Marcos State University,2015,,,"Wilben Christie R. Pagtaconan, Cecilia A. Mercado"
,An Investigation of the Relationship Between Programmer Annotations and Self-Efficacy and their Static Code Reading and Tracing Skills,2015,,,"Josephine S. Dela Cruz, Ma. Mercedes T. Rodrigo"
,Confusion and Compilation Logs: A Study of Novice Programmer Experiences,2014,,,Teresita Paccarangan
,Word Prediction and Correction on EEG-Based Text Entry Interface for Handicapped Person using ANN Model,2014,,,"Jessie Brian Unabia Revil, Mark Allen Secreto Saclot"
,Delaying ARP Poisoning using an Active Network-Based Technique,2014,,,"Alexis Pantola, Deanne Erika Buena, Clarissa Mae Garcia, Celine Villafuerte, Allison Mae Yu"
,A Neural Network Mood-Drivern Pervasive and Personal Learning Environmental Model for Autistic Learners,2014,,,Thelma Domingo-Palaoag
,Genetic Algorithm Experiments in Classical Melody Generation,2014,,,"Maria Katrina Donato, Nethania Katrina Surtida, Charles Jansen Ignacio, Andrei D. Coronel"
,Modelling and Detecting Emotions of Filipino Laughter using Audio Signal,2014,,,"Ramon Rodriguez, Faramarz Ataollahi, Rafael A. Cabredo"
,Recupera: A Home-Based Post-Stroke Rehabilitation using the Kinect Sensor for Active Patients,2014,,,"Kenneth Royce Brigola, Christine Joy Infante, Paolo Josef, Annalyn Reganit, Juan Lorenzo Hagad, Merlin Teodosia C. Suarez"
,Optimizing Cost Function of Histogram of Oriented Gradient-based INRIA Dataset,2014,,,"Roger Luis Uy, Joel D. Ilao, Rafael A. Cabredo"
,Using machine learning to detect pedestrian locomotion from sensor-based data,2014,,,"Courtney Ngo,Solomon See, Roberto Legaspi"
,Filipino Emotion Classification in Speech Signals based on Audio Features and Transcribed Text,2014,,,"Ramon Rodriguez, Joel P. Ilao"
,Usability of RIANT: A Web-Based Visual Development Software for JavaScript-Based Rich Internet Applications,2014,,,"Rex Bringula, Aaron Noel De Leon, Daryll Santos, Jose Mari Ramos, Sean Michael Amador, Roselle S. Basa"
,A Comparison of Sounds Produced by People with and without Hearing Impairment using an Acoustic-to-Articulatory Inversion Model for the Creation of a Visual Articulatory Feedback System,2014,,,"Natalie Agustin, Solomon See"
,Generating Dietary Patterns for Type II Diabetes Mellitus Out-Patient using Constraint Logic Programming,2014,,,"Ma. Anne Therese Musong, Zyra Bravo"
,Modeling DoS Attacks Using Machine Learning,2014,,,"Gregory Cu, Jocelynn Cu, Fili Emerson Chua, Nikkol John Morales, John Lawrence Peñafiel, Jeno Paolo Rigor"
,Building an Agreement-Objection Corpus using a Gamified Framework,2014,,,"Thomas James Tiam-Lee, Solomon See"
,A Mobile Authoring Tool for Augmented Reality Content Generation Using Images as Annotations,2014,,,"Jayzon Ty, Ma. Mercedes T. Rodrigo, Marc Ericson Santos"
,A Comparative Analysis of Different Distance Metrics from Different Families at Various Feature Reduction Levels Applied to Bach Chorales,2014,,,"Jonathan Audric Matias, Regine Danica Regino,  Christine Faith Tango, Andrei D. Coronel"
,Using Document Formatting Information to Improve Neural Network-Based Keyword Extraction,2014,,,"Paolo Tensuan, Arnulfo Azcarraga"
,Document Filtering and Cleaning: N-gram based Language Identification and Rule-based Grammar Checking,2014,,,"Nathaniel Oco, Leif Romeritch Syliongka, Rachel Edita Roxas, Joel P. Ilao"
,Creating Affect Models of Autism Individuals using Music Features and Physiological Readings,2014,,,"Mauro Edmund Arce, Marvin Limson, Michelle Ormoc, Lawrence Yap, Merlin Teodosia C. Suarez"
,Exploring the Behavior of Novice Programmers’ EEG Signals for Affect-based Student Modeling,2014,,,"Tita R. Herradura, Merlin Teodosia C. Suarez, Joel P. Ilao"
,TCP-Friendly Rate Control for WebRTC SCTP DataChannels,2014,,,"Conrad Olega, Aaron Manaloto, Karlo Soriano, Cedric Festin"
,Orange: A Content and Location Aware P2P-CDN Architecture with Integrated RTT-Bandwidth Based Peer Selection Protocol for Video-On-Demand Streaming,2014,,,"Cedric Festin, Fatima Suzanne G. De Villa, Anna Janeri B. Ongcol, Bryan Adam B. Tan"
,RHIA: Building a Music Provision System for College Students Based on Stress Levels,2014,,,"Maritoni Escalona, Ricco Laxamana, Kevin Pagtakhan, Edward Tighe, Merlin Teodosia C. Suarez, Rhia Trogo"
,Feature Selection for Developing a Detection Strategy against Tamper of Grades from Malicious Insiders,2014,,,"John Roy Geralde, Kardi Teknomo"
,A Collaborative Resource Allocation Scheme for P2P Live Streams,2014,,,"Joshua Castañeda, Elijah Joshua Cayabyab, Jonathan Danao, Cedric Festin"
,Automated Karyotyping using Digital Image Analysis,2014,,,"Adrian John Biton, Marie Yvette de Robles"
,On Improving HTML5 Remote Desktop: An Encoding Solution At The Gateway Level,2014,,,"Joseph Benjamin Ferrer, Anthony Brian Dy, Christian Edensor Arbon, Cedric Festin"
,Exploring Similarity of Lexical Features of C++ Programs,2014,,,"Kier Sostenes Guevara, Redan Benedict Alcaide, Allan A. Sioson"
,SAME: An Extended Semantic-Aware Multi-tiered Source Deduplication Framework on Cloud Backup,2014,,,"Francis Bien Jan Viernes, Chynna Julia Cordevilla, Rafael Gerard Formes, Cedric Festin"
,Underwater Image Texture Segmentation using K-Statistical-Moment Means,2014,,,"Val Randolf Madrid, Renior Abrea"
,Effects of Feature Weighting Techniques for Melodic Classification,2014,,,"Jazmine Paola B. Barroga, Roland Joseph M. Gudani, Miguel Paolo M. Quijano"
,An algorithm for the shortest common superstring given a set of strings containing errors,2014,,,"Francis Jomer Gallardo, Armina Francisco"
,Discovery Approximate Gene Clusters as a Minimum-Weighted Clique Problem,2018,,,"Geoffrey Solano, Bianca Camille Silmaro, Sun Arthur Ojeda, Jaime DL Caro"
,Analyses on a Modified Inexact Primal-Dual Method for Removing Multiplicative Noise,2018,,,"Nicole Marie T. Del Rosario, Marrick C. Neri"
,Calculating Internal Rate of Return (IRR) in Practice using Improved Newton-Raphson Algorithm,2018,,,"Nerio Pascual, Ariel Sison, Bobby Gerardo, Ruji Medina"
,Design Implementation and Evaluation of a Scanned Filipino Text-to-Speech Device as a Reading Aid for the Blind and Visually Impaired,2018,,,"Christian Paulo De Leon, Allan Adrian Gatchalian, Juan Miguel Ninobla, Nigel Roi Concepcion, David Joseph Catemprate, Ronald Pascual"
,Developing an Automated Pipeline for Information Extraction and Speech Classification from Floor Debate Records of the House of Representatives of the Philippines,2018,,,"Carlos Alberto Arcenas, Miguel Galace, Marlene De Leon"
,Automated Text Summarization of Research Papers Regarding the Effectiveness of Various Treatment Plans for Leukemia,2018,,,"Jan Apolline Estrella, Christian Philip Gelera, Christian Quinzon, Ethel Ong, Mc Jervis Villaruel, Edlen Mari Sanchez"
,Extracting and Classifying Events from Social Media Posts for Life Story Generation,2018,,,"Robee Khyra Mae J. Te, Janica Mae M. Lam, Camille Alexis T.R. Saavedra, Alden Luc R. Hade, Ethel Ong"
,Is there a Philippine English Vowel Space?,2018,,,"Nivea Jane Urdas, Jhon Rick Salvedia, Drew Dolot, John Meynard Sanchez, Jay Chester Usero, Ava Marie Villareal, Dewi Retnoningsih"
,Optimal Allocation of Investment to Maximize an Insurer's Prospect Value Under Risk with Exponential Claims,2017,,,"Adrian R. Llamado, Jonathan B. Mamplata"
,Split Bregman Iterations on Regularzied L1 Total Variation Models,2017,,,Marrick C. Neri
,"Speech Emotion Recognition: Features, Techniques, and Evaluation",2017,,,Maria Art Antonette Clariño
,Towards the Development of a Rule-Based Filipino Morphological Analyzer and Generator,2017,,,"Kristine Mae M. Adlaon, Charibeth Cheng, Maristella Aquino, Ervin Fernandez, Kevin Villanueva"
,Design and Evaluation of a Reading Miscue Detector for a Computer-Aided Ilocano Language Learning System,2017,,,"Emmanuel M. Malaay, Michael B. Simora, Ronald John O. Cabatic, Ronald M. Pascual, Anthony B. Castillo, Ayman P. Cabotaje"
,An Analysis of Network Activity in a Public University,2016,,,"Rozano S. Maniaol, Danilo J. Mercado"
,Goal Programming Approach to Production Planning of a Roll Formaing Plant in the Philippines,2016,,,"Nilo T. Dela Cruz II, Gimelle B. Gamilla, Allen L. Nazareno"
,Reflections on the Awareness and Progress of Natural Language Processing (NLP) Research in the Philippines,2016,,,Rodolfo Raga Jr
,Clustering Different Philippine Languages using Trigrams,2016,,,"Angelica H. Dela Cruz, Maria Cristina P. Co, Adrian Martin S. Sy, Nathaniel Oco"
,Towards an Extended Hybrid N-gram Grammar Checker Algorithm Applied in Filipino,2016,,,"Matthew Phillip Go, Allan Borra"
,Automatic Text Summarization using ChainRank: A Hybrid Technique,2016,,,"Michael Angeles, Nathaniel Laxina, Maria Art Antonette Clariño, Rizza Mercado"
,Using Statistical Machine Translation for Style and Grammar Correction,2016,,,"Manolito Octaviano Jr, Nathaniel Oco, Allan Borra"
,"Meron o Mayroon: An Exploratory Study on Hiligaynon and Tagalog ""Diphthongs""",2016,,,"Diane Manzano, Samantha Jade Sadural"
,On Self-Reproducibility and Reoptimization of Closest Substring Problem,2015,,,"Jeffrey A. Aborot, Henry N. Adorna, Jhoirene B. Clemente"
,Homogeneous and other Weight Functions,2015,,,"Jane D. Palacio, Pierre Allan K. Santiago, John Paul V. Guim"
,Graph an Information Theoretic Analysis of Correlation between Stock Market Indices,2015,,,"Gabriel Dominik E. Sison, Ulyses A. Solon Jr, Aimee B. Rarugal, Guido David, Giovanni A. Tapang"
,A System for Sensing Human Sentiments to Augment a Model for Predicting Rare Lake Events,2015,,,Jaderick P. Pabico
,Multi-Campus Implementation of University Information Systems,2015,,,"Jaime DL Caro, Rommel P. Feria, Ariel S. Betan, Annette G. Lagman, Rowena C. Solamo, Paulo Noel G. Paje"
,String Matching Using Quantum Fourier Transform,2015,,,"Jeffrey A. Aborot, Henry N. Adorna"
,Permutation Entropy of Card Shuffling,2015,,,Guido David
,Notes on Language Relations among Transition P Systems,2015,,,"Richelle Ann B. Juayong, Henry N. Adorna, Kelvin C. Buno, Francis George C. Cabarle"
,Synchronization of Ad Hoc Clock Networks,2015,,,Jaderick P. Pabico
,An Algorithm for Propagating Graceful Trees Using the Adjacency Matrix of Given Graceful Trees,2014,,,"Marjo-Anne B. Acob, Jean O. Loyola"
,System of Automata Recognizing Languages,2014,,,Kelvin C. Buno
,On Communication Complexity of Some Hard Problems in ECPe Systems with Priority,2014,,,"Sherlyne L. Francia, Denise Alyssa A. Francisco, Richelle Ann B. Juayon, Henry N. Adorna"
,Some Heuristics for the 2-Poset Cover Problem,2014,,,"Gabriel Alberto A. Sanchez, Proceso Fernandez Jr, John Paul C. Vergara"
,Solving the Optimal Three-Stage Periodic Inventory Policy Using an Algorithm Coded in C#,2014,,,"Rodolfo Raga Jr, Jennifer D. Raga"
,"Automated Planning of Children's Stories using Causal Links, Agents and Commensense Ontology",2014,,,"Ethel Ong, Jasmine Irene Ng"
,Community Structure Detection and Analysis in Disaster Related Tweets,2014,,,"Harriet Angelie A. Gonzales, Kurt Junshean P. Espinosa"
,Composer Classification of Filipino Song Lyrics Using Machine Learning,2014,,,"Oliver Isaac L. Chan, Patrick Joseph M. Sadornas, Rafael A. Cabredo, Charibeth Cheng"
,Disaster-Related Participant Tweet Identification Using SVM,2014,,,"Lemuel John Beduya, Kurt Junshean P. Espinosa"
,Generating Text Descriptions in the Alex Interactive Storytelling System using a Semantic Ontology,2014,,,"Rancelli Jane Roxas, Dollen Lour Huang, Bruce Elmer Peralta, Sahnir Yap, Ethel Ong"
,Some Observations on the Sociophonetics of Kapampangan,2014,,,"Anne Grace H. Peralta, Layton Jan M. Tee"
,Toward an Optimal Multilingual Natural Language Generator: Deep Source Analysis and Shallow Target Analysis,2014,,,"Tod Allman, Stephen Beale, Richard Denton"
