article-number,authkeywords,citedby-count,dc:creator,dc:description,dc:identifier,dc:title,eid,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,pii,prism:aggregationType,prism:coverDate,prism:doi,prism:isbn,prism:issn,prism:issueIdentifier,prism:pageRange,prism:publicationName,prism:url,prism:volume,pubmed-id,subtype,subtypeDescription
8806077,,0,Go S.,"© 2019 IEEE. The widespread adoption of social networking and cloud computing has transformed today's Internet to a trove of personal information. As a consequence, data breaches are expected to increase in gravity and occurrence. To counteract unintended data disclosure, a great deal of effort has been dedicated in devising methods for uncovering privacy leaks. Existing solutions, however, have not addressed the time- and data-intensive nature of leak detection. The shift from hardware-specific implementation to software-based solutions is the core idea behind the concept of Network Function Virtualization (NFV). On the other hand, the Software Defined Networking (SDN) paradigm is characterized by the decoupling of the forwarding and control planes. In this paper, an SDN/NFV-enabled architecture is proposed for improving the efficiency of leak detection systems. Employing a previously developed identification strategy, Personally Identifiable Information detector (PIID) and load balancer VNFs are packaged and deployed in OpenStack through an NFV MANO. Meanwhile, SDN controllers permit the load balancer to dynamically redistribute traffic among the PIID instances. In a physical testbed, tests are conducted to evaluate the proposed architecture. Experimental results indicate that the proportions of forwarding and parsing on total overhead is influenced by the traffic intensity. Furthermore, an NFV-enabled system with scalability features was found to outperform a non-virtualized implementation in terms of latency (85.1%), packet loss (98.3%) and throughput (8.41%).",SCOPUS_ID:85071881458,An SDN/NFV-Enabled Architecture for Detecting Personally Identifiable Information Leaks on Network Traffic,2-s2.0-85071881458,,undefined,,0,False,,Conference Proceeding,2019-07-01,10.1109/ICUFN.2019.8806077,"[{'@_fa': 'true', '$': '9781728113395'}]",21658528,,306-311,"International Conference on Ubiquitous and Future Networks, ICUFN",https://api.elsevier.com/content/abstract/scopus_id/85071881458,2019-July,,cp,Conference Paper
8936015,android application | child monitoring robot | computer vision,0,Jose J.,"© 2019 IEEE. Accidents have been found to be one of the leading causes of both fatal and non-fatal injuries to children. Though some accidents that occur are often unavoidable, more often than not these injuries can be prevented by giving the child proper attention. The researchers intend to address certain gaps in stationary monitoring solutions by adding abilities such as an insured way of continuously monitoring the test subject and a real time notification feature to a mobile spherical robot. This research presents the software division of a technological solution to child monitoring by developing a computer vision algorithm for following and monitoring children indoors utilizing an RGB-D camera. This algorithm will work hand in hand with a hardware design of a spherical robot that utilizes microcontrollers, RFID technology and GSM system. An Android application will also be created to provide the users the means of manually overriding the spherical robot, color calibration and location indicator as a part of the robot's notification system. The detection and tracking ability of the algorithm is tested by using objects with varying characteristics. The autonomous navigation testing of the robot is performed at two controlled test setups: living room and child's playroom.",SCOPUS_ID:85078015442,A Vision-Based Detection and Tracking Algorithm for a Child Monitoring Robot,2-s2.0-85078015442,,undefined,,0,False,,Conference Proceeding,2019-07-01,10.1109/ACIRS.2019.8936015,"[{'@_fa': 'true', '$': '9781728122298'}]",,,169-173,"2019 4th Asia-Pacific Conference on Intelligent Robot Systems, ACIRS 2019",https://api.elsevier.com/content/abstract/scopus_id/85078015442,,,cp,Conference Paper
8905973,Global Navigation Satellite System (GNSS) | Manila | precipitable water vapor,0,MacAlalad E.,"© 2019 IEEE. In this study, we present the variation of precipitable water vapor (PWV) derived from a Global Navigation Satellite System (GNSS) receiver located in Manila on 2017. Monthly mean variation was consistent to the climate classification of the site, i.e., Climate Type I based on modified Coronas classification. It showed increased levels of PWV occurred during the wet months (May to October), which peaked in July with PWV value of 61.1 mm. Meanwhile, it has decreased amounts during dry season (November to April) with minimum occurred in March with PWV of 39.9 mm. Wet season showed the least variation in monthly mean PWV where standard deviation (σ) ranged from 3.9 mm to 8.8 mm. On the other hand, most PWV variations occurred during the dry months where ranged from 6.2 to 9.9 mm. Moreover, monthly PWV shows moderate correlation with Surface temperature (R = +0.507), which shows that temperature in this time scale moderately contribute to the formation of water vapor in the atmosphere through evaporation. The results show the potential of GNSS-based PWV in examining the atmospheric moisture characteristics in an area which may be of use in future weather analysis and forecasts.",SCOPUS_ID:85077993492,Variation of GNSS-derived Precipitable Water Vapor over Manila in 2017,2-s2.0-85077993492,UCAR,undefined,University Corporation for Atmospheric Research,0,False,,Conference Proceeding,2019-07-01,10.1109/IconSpace.2019.8905973,"[{'@_fa': 'true', '$': '9781538683941'}]",21654301,,235-238,"International Conference on Space Science and Communication, IconSpace",https://api.elsevier.com/content/abstract/scopus_id/85077993492,2019-July,,cp,Conference Paper
8905946,satellite communication | software defined radio | telecommand | telemetry | virtual instrumentation environment,0,Hilario C.,© 2019 IEEE. This work presents the development and implementation of a satellite telemetry and telecommand system in a software defined radio platform and a virtual instrumentation environment. The performance of different modulation and coding schemes under the effects of various channel impairments in satellite communication such as the Additive White Gaussian Noise and Doppler frequency shift were presented through simulations. The system was realized in a software defined radio platform and the performance was verified through actual tests emulating a satellite and ground station communication. The results of the simulations and actual tests show the capability and versatility of the software defined radio - based satellite telemetry and telecommand system and its potential application in building a fully reconfigurable ground station.,SCOPUS_ID:85077988923,Development of Software Defined Radio - Based Satellite Telemetry and Telecommand System in Virtual Instrumentation Environment,2-s2.0-85077988923,DOST,undefined,"Department of Science and Technology, Republic of the Philippines",0,False,,Conference Proceeding,2019-07-01,10.1109/IconSpace.2019.8905946,"[{'@_fa': 'true', '$': '9781538683941'}]",21654301,,201-206,"International Conference on Space Science and Communication, IconSpace",https://api.elsevier.com/content/abstract/scopus_id/85077988923,2019-July,,cp,Conference Paper
8938456,Cryptography | Data Security | IoT | Lightweight Cipher Algorithm | TEA,0,de Leon R.,"© 2019 IEEE The Tiny Encryption Algorithm (TEA) has been proven to be suitable for constrained devices because of its lightness. However, TEA suffers from equivalent key and related key attacks. This paper proposed a modification to TEA to improve its security by rotating its subkeys to every round function as the new key scheduling scheme. Also, the round function of TEA was also modified by shifting the keys before integrating to the functions. The modified TEA was benchmarked with the original TEA with avalanche effect and completeness test. The modified TEA avalanche effect is 54.4% against 47.2% for TEA, and its' completeness test is 51.4% against 49% for TEA. The modified TEA was also tested with equivalent keys and produces different ciphertext. The tests showed that the modified TEA is more secure than the original TEA.",SCOPUS_ID:85077967800,A modified tiny encryption algorithm using key rotation to enhance data security for internet of things,2-s2.0-85077967800,,undefined,,0,False,,Conference Proceeding,2019-07-01,10.1109/ICOIACT46704.2019.8938456,"[{'@_fa': 'true', '$': '9781728116556'}]",,,56-60,"2019 International Conference on Information and Communications Technology, ICOIACT 2019",https://api.elsevier.com/content/abstract/scopus_id/85077967800,,,cp,Conference Paper
8938509,Cryptography | Key Generation | Linear Congruential Generator | PRNG | Pseudo-Random Numbers | Random Number Generation,1,Origines D.,"© 2019 IEEE Random numbers are important tools for generating secret keys, encrypting messages, or masking the content of certain protocols with a random sequence that can be deterministically generated. The lack of assurance about the random numbers generated can cause serious damage to cryptographic protocols, prompting vulnerabilities to be exploited by the attackers. In this paper, a new pseudo - random number generator algorithm that uses dynamic system clock converted to Epoch Timestamp as PRNG seed was developed. The algorithm uses a Linear Congruential Generator (LCG) algorithm that produces a sequence of pseudo - randomized numbers that performs mathematical operations to transform numbers that appears to be unrelated to the Seed. Simulation result shows that the new PRNG algorithm does not generate repeated random numbers based on the frequency of iteration, a good indicator that the key for random numbers is secured. Numerical analysis using NIST Test Suite results concerning to random sequences generated random numbers has a total average of 0.342 P-value. For a p-value ≥ 0.001, a sequence would be considered to be random with a confidence of 99.9%. This shows that robustness and unpredictability were achieved. Hence, It is highly deterministic in nature and has a good quality of Pseudo-Random Numbers. It is therefore a good source of a session key generation for encryption, reciprocal in the authentication schemes and other cryptographic algorithm parameters that improve and secure data from any type of security attack.",SCOPUS_ID:85077746092,A novel pseudo-random number generator algorithm based on entropy source epoch timestamp,2-s2.0-85077746092,IEEE,undefined,IEEE Foundation,0,False,,Conference Proceeding,2019-07-01,10.1109/ICOIACT46704.2019.8938509,"[{'@_fa': 'true', '$': '9781728116556'}]",,,50-55,"2019 International Conference on Information and Communications Technology, ICOIACT 2019",https://api.elsevier.com/content/abstract/scopus_id/85077746092,,,cp,Conference Paper
8900755,Approximate Gene Cluster Discovery Problem | Gene | Gene Clusters | Genome | Integer Linear Programming | LP Relaxation,0,Florendo P.,"© 2019 IEEE. The opportunity of finding conserved segments in different species has increased with the increasing availability of completely sequenced genomes. Similarity of different parts or regions of different genomes suggests evolutionary relationships among different species and might foretell functional roles which prevented genes to separate. These similar segments are called conserved gene clusters or gene clusters. Approximate Gene Cluster Discovery Problem (AGCDP) is the problem of finding genes that are kept together in different species. Presented in this study is an Integer Linear Programming (ILP) formulation of the AGCDP. Since ILP is proven to be NP-complete, the study also made use of LP Relaxation since linear programming problems can be solved in polynomial time. The software used Java for the interface and other functionalities and R for solving ILP. InteGene, the tool produced by the study, can provide the user the best clusters given a set of data and input constraints which can be further tested for biological significance.",SCOPUS_ID:85075874434,InteGene: An Integer Linear Programming Tool for Discovering Approximate Gene Clusters,2-s2.0-85075874434,DOST,undefined,"Department of Science and Technology, Republic of the Philippines",0,False,,Conference Proceeding,2019-07-01,10.1109/IISA.2019.8900755,"[{'@_fa': 'true', '$': '9781728149592'}]",,,,"10th International Conference on Information, Intelligence, Systems and Applications, IISA 2019",https://api.elsevier.com/content/abstract/scopus_id/85075874434,,,cp,Conference Paper
8900766,Approximate gene cluster discovery problem | Clique | Gene | Gene clusters | Genome | Minimum weight t-partite clique problem,0,Silmaro B.,"© 2019 IEEE. Defining relationships between species is a fundamental problem in bioinformatics. One of the ways to define relationships is to detect gene clusters. Graph concepts have been applied to several genomic studies. Approximate gene cluster discovery may be approached as optimization problems in graph, one of which is the Minimum Weight t-Partite Clique Problem (MWtCP). The goal of MWtCP is to create a t-partite graph and to find a t-star with minimum weight, which is used to approximate a t-clique. Clustar is a tool that applies an algorithm which solves the MWtCP for detecting gene clusters. It allows the user to detect gene clusters using three methods: approximate gene clustering, exact gene clustering (using GPU), and exact gene clustering (without using GPU). Clustar is able to produce candidate gene clusters and its alignment among the genomes, as well as the graph representation and the adjacency matrix produced from the generated graph.",SCOPUS_ID:85075872805,Clique-finding Tool for Detecting Approximate Gene Clusters,2-s2.0-85075872805,DOST,undefined,"Department of Science and Technology, Philippines",0,False,,Conference Proceeding,2019-07-01,10.1109/IISA.2019.8900766,"[{'@_fa': 'true', '$': '9781728149592'}]",,,,"10th International Conference on Information, Intelligence, Systems and Applications, IISA 2019",https://api.elsevier.com/content/abstract/scopus_id/85075872805,,,cp,Conference Paper
,Agricultural product | Agricultural sector | Forecasting | Mobile application,0,Dormido J.,"© BEIESP. One-third of the labor force in the Philippines is engaged in farming. Farmers played an important role in providing every family with the fresh food needed daily for our health. Helping farmers build a stronger network to market their products eventually created sustainability within the agricultural sector. The establishing of agricultural forecasting mobile application shall serve both the farmers and traders better in making sure that the harvested crops earned profits. The developed architecture design shall be adopted for agricultural forecasting applications. The study examined the factors considered in the development of a mobile application assistant to the agricultural sector. The use of different statistical tools helped in providing in-depth analysis which resulted in a more accepted designed for the farmers. The results show, that having identified some common problems in providing online services shall likewise solve certain issues and offer solutions to the best practices in the forecasting of agricultural production. It indicated that having a mobile agricultural forecasting application solved the issues in the waste production of farm products. The application shall help the farmers checked the level of crop demand in the market and navigate the place in which the demand is high in farm production in the participated trading post. This became beneficial to both farmers and the government in strengthening the agricultural sector, which is far behind from other developing countries.",SCOPUS_ID:85073393308,A design architecture for developing agricultural product forecasting system application for farmers,2-s2.0-85073393308,,undefined,,1,True,,Journal,2019-07-01,10.35940/ijitee.I1114.0789S219,,,9 Special Issue 2,542-547,International Journal of Innovative Technology and Exploring Engineering,https://api.elsevier.com/content/abstract/scopus_id/85073393308,8,,ar,Article
,Emergency Communication | Geolocation | Small-Scale Fishermen | Sub-1 Ghz | Wireless Marine Network,0,Mejias M.,"© 2019, World Academy of Research in Science and Engineering. All rights reserved. This paper presents the results of the investigation made for the prototype implementation of an emergency communication system and locator for small-scale fishing boats using a license-free band and long-range marine wireless network. The prototype has an emergency button that allowed fishermen-participants to send a distress signal to the base station and, in turn, a light emitting diode (LED) that can notify the warning signal that was transmitted from the base station. The network module periodically transmitted the boats’ coordinates to the base station and these position reports received are displayed in real-time through a mapping system. Through these, the base station can geolocate the fishing paths and the last known location of the fishing boats. This study was able to implement a prototype for a long-range wireless network between two boats, a floating buoy, and the base station. The transmission of distress signals from the boats to the base station and warning signals that were broadcast from the base station was successful up to 5.4 kilometers. This research has proven the potential of Sub-1 GHz through wireless transmission in an open sea communication, which can help small-scale fishermen to be easily located when emergency situations arise and ease the burden in search and rescue operations.",SCOPUS_ID:85073382171,A prototype implementation of an emergency communication device and locator for small-scale fishing boats,2-s2.0-85073382171,,undefined,,1,True,,Journal,2019-07-01,10.30534/ijatcse/2019/32842019,,,4,1234-1240,International Journal of Advanced Trends in Computer Science and Engineering,https://api.elsevier.com/content/abstract/scopus_id/85073382171,8,,ar,Article
,Computational thinking skills | Mobile games | Mobile games utilization,0,Fernandez J.,"© BEIESP. Transformation of knowledge can be obtained anytime anywhere but where and how you learn make all the difference. The increased number of different online games attract young people that can turn to addiction or cause dropout or sometimes makes them inspired. On the other hand, computational thinking skills are vital skills for the students in order to reduce the skills gap between education and the workplace. Computational thinking skills shall help the students become problem solver and innovator, when students have the capacity to determine what to extract from a system or problem in order to create a solution they are forced to think differently about the most important elements of what they are working with and remove irrelevant factors. The main purpose of this study is to assess the computational thinking among students on the mobile games utilization. The researcher employed quantitative data analysis and documentary analysis was used to measure the effect of mobile games utilization using Scholastic Abilities Test for Adults(SATA).The result of the study have average effect to enhance computational thinking. It also reveals that mobile games utilization such as collaboration actions provide incentives to engage with learning.",SCOPUS_ID:85073365787,An assessment of the mobile games utilization and it’s effect to one’s computational thinking skills,2-s2.0-85073365787,,undefined,,1,True,,Journal,2019-07-01,10.35940/ijitee.I1115.0789S219,,,9 Special Issue 2,548-552,International Journal of Innovative Technology and Exploring Engineering,https://api.elsevier.com/content/abstract/scopus_id/85073365787,8,,ar,Article
,Circular left shifting | Hash-based message authentication codes | MD5 | Randomness | XOR bitwise operator,1,Abad E.,"© 2019, World Academy of Research in Science and Engineering. All rights reserved. Quality assessment of the security of sensitive information being sent over or stored in a medium is vital in the world of computing and communications. Hash-based message authentication codes (HMACs) is a tool that provides such security check using a cryptographic hash function coupled with a secret key. In this paper, an enhanced key generation algorithm of HMAC-MD5 using XOR bitwise operator and left circular shifting is proposed. Six randomness tests from the NIST statistical test suite are performed to the proposed method which is implemented on the existing Travel Order Management System. Results showed that the binary sequence of the generated key is random in all tests as Pvalues passed the minimum significant level. The computed P-values are as follows: Frequency (Monobit) Test = 0.503, Frequency Test within a Block = 0.349, Run Test = 0.553, Test for the Longest Run of Ones in a Block = 0.022, Approximate Entropy Test = 0.325, and Cumulative Sums Test = 1.000. This means that the generator provides unpredictable random sequence of key.",SCOPUS_ID:85073340821,Security evaluation of the enhanced key generation algorithm of hashing message authentication code,2-s2.0-85073340821,CHED,undefined,Commission on Higher Education,1,True,,Journal,2019-07-01,10.30534/ijatcse/2019/35842019,,,4,1254-1259,International Journal of Advanced Trends in Computer Science and Engineering,https://api.elsevier.com/content/abstract/scopus_id/85073340821,8,,ar,Article
,Cryptography | Key security | Playfair cipher | Randomness,1,Marzan R.,"© 2019, World Academy of Research in Science and Engineering. All rights reserved. The cryptographic quality of the cipher algorithm depends on its key security. Typically, cryptographic applications provide unpredictable keys to strengthen the security of the plaintext. Despite advancements made in the field of cryptography, security loopholes still exist. As such, this paper proposed a key security of Playfair cipher algorithm by applying Playfair cipher 16x16 matrix, XOR operator, two’s complement, and bit swapping. It also describes randomness tests on the proposed method that has been implemented on the existing application. We selected seven suitable randomness tests provided by NIST Test Suite. Experimental results show that the generated binary sequences are random as the proposed method passed all selected randomness tests which include frequency (Monobit) test, frequency test within a block, run test, test for the longest run of ones in a block, discrete Fourier transform, approximate entropy test, and cumulative sums test. In fact, among the different length of keys (10, 20, 30, and 40), we obtained P-values ranging from 0.01 to 1.00. It only means that no pattern has found, thus the key is unpredictable.",SCOPUS_ID:85073325793,Randomness analysis on enhanced key security of Playfair cipher algorithm,2-s2.0-85073325793,CSUSM,undefined,California State University San Marcos,1,True,,Journal,2019-07-01,10.30534/ijatcse/2019/34842019,,,4,1248-1253,International Journal of Advanced Trends in Computer Science and Engineering,https://api.elsevier.com/content/abstract/scopus_id/85073325793,8,,ar,Article
8806072,building automation system | cyber-physical system | data integrity attack | sensors,0,Calimbahin C.,"© 2019 IEEE. Building automation systems (BAS) are a class of cyber-physical systems that aim to improve the efficiency of buildings through intelligent control. Typically, sensor measurements are used to compute for the optimal control action for equipment that minimizes the energy consumption while maintaining the comfort of occupants. Given the heavy reliance on sensor data, ensuring their validity is an essential concern in BAS. Several work have explored sensor validation, mostly for the purpose of automatic fault detection and diagnostics (AFDD). However, recent studies show BAS vulnerable to adversarial attacks - an area that has lacked consideration in the early design of BAS. In this work, we propose a sensor correction model, based on deep learning framework, for mitigating against data integrity attacks in BAS. We test our approach on real-world data obtained from a retrofitted air conditioning (AC) control testbed, with injected data simulating different attacker types and number of attacked sensors. We show that the model is capable of mitigating attacks by comparing with a baseline where no model is employed.",SCOPUS_ID:85071858343,Mitigating Data Integrity Attacks in Building Automation Systems using Denoising Autoencoders,2-s2.0-85071858343,CHED,undefined,Commission on Higher Education,0,False,,Conference Proceeding,2019-07-01,10.1109/ICUFN.2019.8806072,"[{'@_fa': 'true', '$': '9781728113395'}]",21658528,,390-395,"International Conference on Ubiquitous and Future Networks, ICUFN",https://api.elsevier.com/content/abstract/scopus_id/85071858343,2019-July,,cp,Conference Paper
8791241,Ensemble Learning | Extreme Gradient Boosting | Machine Learning | Protein-Protein Interaction | Random Forest | Support Vector Machine,0,Beltran J.,"© 2019 IEEE. Protein-protein interactions (PPIs)are vital to numerous biological processes. Computational methods have been used to predict PPIs from protein sequences. Several studies utilize popular algorithms such as Support Vector Machines (SVM)and Random Forest (RF)for detecting PPIs. The hypothesis of this study is that Extreme Gradient Boosting (XGBoost), which uses gradient boosted decision trees as the base classifier, can produce comparable results to those produced by SVM and RF. Based on the experimental results for the assembled protein interaction dataset, XGBoost produced better results than SVM and RF for the majority of the metrics used.",SCOPUS_ID:85071434223,Predicting Protein-Protein Interactions based on Biological Information using Extreme Gradient Boosting,2-s2.0-85071434223,,undefined,,0,False,,Conference Proceeding,2019-07-01,10.1109/CIBCB.2019.8791241,"[{'@_fa': 'true', '$': '9781728114620'}]",,,,"2019 IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology, CIBCB 2019",https://api.elsevier.com/content/abstract/scopus_id/85071434223,,,cp,Conference Paper
8782240,Blended learning | Neural network | Student performance prediction,0,Raga R.,"© 2019 IEEE. In this paper, we experimented on developing prediction models for student performance in early stages of blended learning courses using deep neural network (NN) architecture and utilizing online activity attributes as input patterns. The online activity attributes were extracted from the activity logs stored by Moodle. A total of 885 records from undergraduate students taking three 3 different courses under 16 different classes were utilized. First, a series of experiments was conducted to determine the hyperparameters for a top performing NN model which then served as baseline classifier. Afterward, experiments were conducted to test the performance of the model for predicting student outcomes (pass or fail) both for the midterm and finals period using activity data generated prior to the midterm period. Results indicate that only low prediction performance can be achieved at an early stage, more specifically during the first month of the course. However, both accuracy, as well as ROC-AUC score, improves as more data is accumulated up to the third month. This result supports the findings from previous studies. The highest accuracy achieved for predicting finals outcomes for a single course is 91.07% with ROC-AUC score of 0.88 while for midterm outcomes the highest is 80.36% accuracy with ROC-AUC score of 0.70. This study is a part of an ongoing work that aims to develop a tool that can be applied in selected blended learning dimensions to provide a basis for automatic feedback and instructor support.",SCOPUS_ID:85071007069,Early prediction of student performance in blended learning courses using deep neural networks,2-s2.0-85071007069,,undefined,,0,False,,Conference Proceeding,2019-07-01,10.1109/ISET.2019.00018,"[{'@_fa': 'true', '$': '9781728133874'}]",,,39-43,"Proceedings - 2019 International Symposium on Educational Technology, ISET 2019",https://api.elsevier.com/content/abstract/scopus_id/85071007069,,,cp,Conference Paper
,Nguyen-widrow algorithm | Self-organizing map | Weight initialization,0,Linan M.,"© 2019 Institute of Advanced Engineering and Science. The quality of cluster result and the learning speed of Self-organizing map (SOM) are dependent on the initialization of weights since the initial values for weight vectors affect the performance of SOM training when applied to clustering. In this paper, the improvement of SOM was achieved with the application of the Nguyen-Widrow algorithm to initialize weights. Nguyen-Widrow initialization algorithm is a method for initialization of the weights of neural networks to speed up the training process. Performance of the modified SOM was determined in terms of cluster error rate and the number of iterations to achieve convergence using different datasets and results show that the modified SOM algorithm produces better cluster results and improved training speed compared to traditional SOM.",SCOPUS_ID:85066053597,Improving self-organizing map with nguyen-widrow initialization algorithm,2-s2.0-85066053597,,undefined,,1,True,,Journal,2019-07-01,10.11591/ijeecs.v15.i1.pp535-542,,25024752,1,535-542,Indonesian Journal of Electrical Engineering and Computer Science,https://api.elsevier.com/content/abstract/scopus_id/85066053597,15,,ar,Article
8935943,Biometrics | Empirical mode decomposition | K-fold cross validation | Machine learning | Photoplethysmogram signals,0,Alonzo L.,"© 2019 IEEE. This research focuses on using photoplethysmogram (PPG) signals for biometric recognition. Specifically, the biometric traits studied are the ensemble empirical mode decomposition (EEMD) and power spectral density (PSD) of the PPG signals. The classifiers used for testing the performance of the algorithm were K-nearest neighbors algorithm (KNN), support vector machine (SVM), and random forest (RF). Training, testing, and k-fold cross validation were done using data from public database. PPG was found to be suitable for biometric recognition, although with weakness that may be addressed through gathering and training of larger sets of data.",SCOPUS_ID:85078069610,Ensemble Empirical Mode Decomposition of Photoplethysmogram Signals in Biometric Recognition,2-s2.0-85078069610,,undefined,,0,False,,Conference Proceeding,2019-07-01,10.1109/ACIRS.2019.8935943,"[{'@_fa': 'true', '$': '9781728122298'}]",,,255-259,"2019 4th Asia-Pacific Conference on Intelligent Robot Systems, ACIRS 2019",https://api.elsevier.com/content/abstract/scopus_id/85078069610,,,cp,Conference Paper
8935969,finite element method | least square polynomial approximation (LSPA) | soft pneumatic bending actuator | soft robotics,0,Enojas M.,"© 2019 IEEE. A growing research and development of soft manipulators that are able to mimic movements of human hand for prostheses and rehabilitation is one of the main streams in advanced robotics technologies. Soft compliant materials are overtaking the role of hard materials for this cause. This paper presents a model of soft pneumatic bending actuator (sPBA) to mimic the movements of a finger. The sPBA developed is composed of air chambers connected together with a common channel that bends symmetrically, achieving the bending characteristics of a finger joint. Three actuators which act as joints are connected to form a finger. Finite element method (FEM) is used to simulate the pressure and bending characteristics of the model prior to fabrication. The materials used in the model are the hyper elastic silicon rubbers; Dragon Skin 10 Medium (DS10M) and Elastosil M4601 (EM4601). The kinematic model of the planar movement of the actuator is based on the assumption of a rigid multiple-link hyper redundant structure. The inverse kinematics is solved using sequential quadratic programming algorithm (SQPA) as an optimization function in a numerical computing environment software. The constraint equation used in solving the joint angles is the forward kinematics equation. The derived least square polynomial equations are used to estimate the pressure. The cost functions are defined to minimize displacement error. In addition, a prototype was developed to validate the movement of the designed finger. The results present an acceptable maximum displacement error at low pressure of 3.4%. The bending was successfully achieved having the same pose as that of the FEM simulation and is also able to grip an object.",SCOPUS_ID:85078031524,Development of a Finger Soft Pneumatic Bending Actuator,2-s2.0-85078031524,,undefined,,0,False,,Conference Proceeding,2019-07-01,10.1109/ACIRS.2019.8935969,"[{'@_fa': 'true', '$': '9781728122298'}]",,,1-5,"2019 4th Asia-Pacific Conference on Intelligent Robot Systems, ACIRS 2019",https://api.elsevier.com/content/abstract/scopus_id/85078031524,,,cp,Conference Paper
8905976,global navigation satellite system | ionosphere | ionospheric irregularities | roti,0,Juadines K.,"© 2019 IEEE. When radio signals encounter ionospheric irregularities while being transmitted, they appear to be rapid signal fluctuations. These rapid fluctuations in radio signals are called scintillation and the irregularities that cause them are found in the ionosphere around 300-500 km altitude. In this paper, the occurrence of low-latitude ionospheric irregularities over the Philippine sector using 8 Global Navigation Satellite System receivers from the Philippine Active Geodetic Network (PageNET) on March 2015 was observed through the rate of change of total electron content index (ROTI). The 5-minute ROTI was calculated from raw GNSS data from the PageNET receivers. High ROTI values were mostly observed during post-sunset (1200 UT or 8:00 PM local time) and lasted for about 3-4 hours. This shows that generally, ionospheric irregularities are present during this time of the day. However, when a strong geomagnetic storm hit Earth, the usual occurrence of these irregularities appears to be suppressed. According to Nayak et.al. (2017), the suppression was due to the reduced pre-reversal enhancement (PRE) electric field which caused a condition detrimental to the formation of ionospheric irregularities. Moreover, ROTI values correlated very well with the station's latitude where higher latitudes exhibited higher ROTI than latitudes near the geomagnetic equator. This corresponds to the presence of the equatorial ionization anomaly.",SCOPUS_ID:85077999662,Observation of Low-Latitude Ionospheric Irregularities using Rate of Change of Total Electron Content over the Philippine Sector,2-s2.0-85077999662,,undefined,,0,False,,Conference Proceeding,2019-07-01,10.1109/IconSpace.2019.8905976,"[{'@_fa': 'true', '$': '9781538683941'}]",21654301,,112-115,"International Conference on Space Science and Communication, IconSpace",https://api.elsevier.com/content/abstract/scopus_id/85077999662,2019-July,,cp,Conference Paper
8905982,Global Navigation Satellite System | Ionosphere | Solar Flares | Total Electron Content,0,Mendoza M.,"© 2019 IEEE. The Sun produced a series of solar flares during the month of September. There were seven solar flares during the period of 4 September 17 to 10 September 2017. It started with an M5.5 solar flare at September 4, 2017, followed by an X2.2 solar flare on September 6, 2017, and at a later time, an X9.3 solar flare. A M7.3 solar flare occured on 7 September 2017, followed by an X1.3 solar flare on the same day. A M8.1 solar flare on 8 September 2017 happened and it ended with an X8.2 solar flare on 10 September 2017. The X9.3 solar flare of September 2017 is the strongest of the seven consecutive flares originating from active sunspot region 2673. Two of these flares produced a G4 Storm. The first to hit is from the X9.3 flare at 22 UT of 6 September 2017 and the other from a M7.3 flare at 13 UT of 8 September 2017. The series of continuous bombardment of coronal mass ejections and solar flares caused enhancements in the total electron content (TEC) as observed from ground based International GNSS Service (IGS) receivers. A 15-day observation period from 1 September 2017 to 1 September 2017 is selected such that comparison between the quiet and disturbed periods of the ionosphere can be observed during the series of flares. There are five International GNSS Service (IGS) stations selected over Philippines and Taiwan such that a latitudinal variation over the equatorial regions are highlighted. This storm caused an enhancement of about 15 TEC units (TECU), (1 TECU = 1012electrons / m2) as measured on International GNSS Service (IGS) stations along the Taiwanese and Philippine sectors. This agrees with the TEC observations made by Yasyukevich et al. (2018) at middle latitude regions wherein an increase of 4 TECU is observed on the X2.2 flare, 10 TECU during the X9.3 flare, and 15 TECU at low latitudes.",SCOPUS_ID:85077976371,Analysis of the Ionospheric Total Electron Content during the Series of September 2017 Solar Flares over the Philippine - Taiwan Region,2-s2.0-85077976371,,undefined,,0,False,,Conference Proceeding,2019-07-01,10.1109/IconSpace.2019.8905982,"[{'@_fa': 'true', '$': '9781538683941'}]",21654301,,182-185,"International Conference on Space Science and Communication, IconSpace",https://api.elsevier.com/content/abstract/scopus_id/85077976371,2019-July,,cp,Conference Paper
